2023-08-19 14:15:01,2023-08-19 14:15:00,2023-08-19 14:15,LOGGING TEST,900,300,0
2023-08-19 14:20:09,2023-08-19 14:20:08,2023-08-19 14:20,LOGGING TEST,1208,300,8
2023-08-19 14:25:04,2023-08-19 14:25:03,2023-08-19 14:25,LOGGING TEST,1503,300,3
2023-08-19 14:30:05,2023-08-19 14:30:04,2023-08-19 14:30,LOGGING TEST,1804,300,4
2023-08-19 14:35:02,2023-08-19 14:35:01,2023-08-19 14:35,LOGGING TEST,2101,300,1
2023-08-19 14:40:02,2023-08-19 14:40:01,2023-08-19 14:40,LOGGING TEST,2401,300,1
2023-08-19 14:45:05,2023-08-19 14:45:04,2023-08-19 14:45,LOGGING TEST,2704,300,4
2023-08-19 14:50:10,2023-08-19 14:50:09,2023-08-19 14:50,LOGGING TEST,3009,300,9
2023-08-19 14:55:03,2023-08-19 14:55:03,2023-08-19 14:55,LOGGING TEST,3303,300,3
2023-08-19 15:00:09,2023-08-19 15:00:08,2023-08-19 15:00,LOGGING TEST,8,300,8
2023-08-19 15:05:05,2023-08-19 15:05:04,2023-08-19 15:05,LOGGING TEST,304,300,4
2023-08-19 15:10:05,2023-08-19 15:10:04,2023-08-19 15:10,LOGGING TEST,604,300,4
2023-08-19 15:15:09,2023-08-19 15:15:08,2023-08-19 15:15,LOGGING TEST,908,300,8
2023-08-19 15:20:05,2023-08-19 15:20:04,2023-08-19 15:20,LOGGING TEST,1204,300,4
2023-08-19 15:25:01,2023-08-19 15:25:00,2023-08-19 15:25,LOGGING TEST,1500,300,0
2023-08-19 15:30:10,2023-08-19 15:30:09,2023-08-19 15:30,LOGGING TEST,1809,300,9
2023-08-19 15:35:06,2023-08-19 15:35:05,2023-08-19 15:35,LOGGING TEST,2105,300,5
2023-08-19 15:40:04,2023-08-19 15:40:02,2023-08-19 15:40,LOGGING TEST,2402,300,2
2023-08-19 15:45:03,2023-08-19 15:45:02,2023-08-19 15:45,LOGGING TEST,2702,300,2
2023-08-19 15:50:04,2023-08-19 15:50:03,2023-08-19 15:50,LOGGING TEST,3003,300,3
2023-08-19 15:55:01,2023-08-19 15:55:00,2023-08-19 15:55,LOGGING TEST,3300,300,0
2023-08-19 16:00:01,2023-08-19 16:00:01,2023-08-19 16:00,LOGGING TEST,1,300,1
2023-08-19 16:05:10,2023-08-19 16:05:09,2023-08-19 16:05,LOGGING TEST,309,300,9
2023-08-19 16:10:01,2023-08-19 16:10:00,2023-08-19 16:10,LOGGING TEST,600,300,0
2023-08-19 16:15:06,2023-08-19 16:15:05,2023-08-19 16:15,LOGGING TEST,905,300,5
2023-08-19 16:20:07,2023-08-19 16:20:06,2023-08-19 16:20,LOGGING TEST,1206,300,6
2023-08-19 16:25:09,2023-08-19 16:25:09,2023-08-19 16:25,LOGGING TEST,1509,300,9
2023-08-19 16:30:05,2023-08-19 16:30:04,2023-08-19 16:30,LOGGING TEST,1804,300,4
2023-08-19 16:35:03,2023-08-19 16:35:02,2023-08-19 16:35,LOGGING TEST,2102,300,2
2023-08-19 16:40:02,2023-08-19 16:40:01,2023-08-19 16:40,LOGGING TEST,2401,300,1
2023-08-19 16:45:02,2023-08-19 16:45:01,2023-08-19 16:45,LOGGING TEST,2701,300,1
2023-08-19 16:50:04,2023-08-19 16:50:03,2023-08-19 16:50,LOGGING TEST,3003,300,3
